ticker,matched_market_date,sentiment_mean,close,daily_return,article_count,ai_innovation,collaboration,leadership,regulation,litigation
MSFT,2024-09-20,0.4168,435.27,-0.0078,3,1,1,1,0,0
MSFT,2024-09-23,0.1637,433.51,-0.004,2,1,1,0,0,0
MSFT,2024-09-24,0.18994999999999998,429.17,-0.01,2,0,1,0,0,0
MSFT,2024-09-25,0.19175,432.11,0.0069,2,2,0,0,0,0
MSFT,2024-09-26,0.3557,431.31,-0.0019,1,0,1,0,0,0
MSFT,2024-09-27,0.332675,428.02,-0.0076,4,3,0,1,0,0
MSFT,2024-09-30,0.2759,430.3,0.0053,1,1,0,0,0,0
MSFT,2024-10-01,0.3516,420.69,-0.0223,1,1,0,0,0,0
MSFT,2024-10-02,0.2959,417.13,-0.0085,1,0,0,0,1,0
MSFT,2024-10-03,0.45385,416.54,-0.0014,2,1,1,0,0,0
MSFT,2024-10-04,0.5795,416.06,-0.0012,1,1,0,0,0,0
MSFT,2024-10-08,0.2789,414.71,0.0126,2,2,0,0,0,0
MSFT,2024-10-09,0.3366,417.46,0.0066,1,1,0,0,0,0
MSFT,2024-10-11,0.3599,416.32,0.0012,1,1,0,0,0,0
MSFT,2024-10-16,0.4424,416.12,-0.0063,1,0,1,0,0,0
MSFT,2024-10-21,0.31745,418.78,0.0015,2,2,0,0,0,0
MSFT,2024-10-22,0.7449,427.51,0.0208,1,1,0,0,0,0
MSFT,2024-10-23,0.39755,424.6,-0.0068,2,2,0,0,0,0
MSFT,2024-10-25,0.3617,428.15,0.0081,1,1,0,0,0,0
MSFT,2024-10-28,0.2793,426.59,-0.0036,2,1,1,0,0,0
MSFT,2024-10-30,0.36755,432.53,0.0013,2,1,1,0,0,0
MSFT,2024-11-01,0.4026,410.37,0.0099,1,1,0,0,0,0
MSFT,2024-11-04,0.26639999999999997,408.46,-0.0047,3,0,1,1,1,0
MSFT,2024-11-06,0.011249999999999996,420.18,0.0212,2,1,0,0,0,1
MSFT,2024-11-07,0.3457,425.43,0.0125,1,1,0,0,0,0
MSFT,2024-11-08,0.2639,422.54,-0.0068,1,0,1,0,0,0
MSFT,2024-11-12,0.054900000000000004,423.03,0.012,2,0,2,0,0,0
MSFT,2024-11-13,0.34240000000000004,425.2,0.0051,2,2,0,0,0,0
MSFT,2024-11-14,0.4583,426.89,0.004,2,1,1,0,0,0
MSFT,2024-11-18,0.20149999999999998,415.76,0.0018,2,1,0,0,0,0
MSFT,2024-11-19,0.382075,417.79,0.0049,4,1,3,0,0,0
MSFT,2024-11-20,0.303975,415.49,-0.0055,4,2,0,1,0,0
MSFT,2024-11-21,0.3823,412.87,-0.0043,1,0,1,0,0,0
MSFT,2024-11-22,0.41575,417.0,0.01,2,2,0,0,0,0
MSFT,2024-11-25,0.4258,418.79,0.0043,1,0,1,0,0,0
MSFT,2024-11-27,0.38153333333333334,422.99,-0.0117,3,2,1,0,0,0
MSFT,2024-12-02,0.356475,430.98,0.0178,4,1,2,0,0,0
MSFT,2024-12-03,0.4822,431.2,0.0005,6,4,1,1,0,0
MSFT,2024-12-06,0.5270333333333334,443.57,0.0021,3,3,0,0,0,0
MSFT,2024-12-09,0.270625,446.02,0.0055,4,2,1,1,0,0
MSFT,2024-12-10,0.022400000000000003,443.33,-0.006,2,1,1,0,0,0
MSFT,2024-12-12,0.2455,449.56,0.0013,1,0,0,0,1,0
MSFT,2024-12-19,0.21945,437.03,-0.0008,2,1,0,1,0,0
MSFT,2024-12-20,0.4583,436.6,-0.001,2,2,0,0,0,0
MSFT,2024-12-23,0.2833,435.25,-0.0031,1,1,0,0,0,0
MSFT,2024-12-26,-0.3012,438.11,-0.0028,1,1,0,0,0,0
MSFT,2024-12-30,0.1262,424.83,-0.0132,1,0,0,0,0,0
MSFT,2025-01-06,0.321,427.85,0.0106,1,1,0,0,0,0
MSFT,2025-01-10,0.2607,418.95,-0.0132,1,0,1,0,0,0
MSFT,2025-01-17,0.3939,429.03,0.0105,1,1,0,0,0,0
MSFT,2025-01-21,0.462,428.5,-0.0012,1,1,0,0,0,0
MSFT,2025-01-22,0.32339999999999997,446.2,0.0413,3,1,0,1,0,0
MSFT,2025-01-29,0.34625,442.33,-0.0109,2,2,0,0,0,0
MSFT,2025-01-30,0.3136,414.99,-0.0618,1,1,0,0,0,0
MSFT,2025-02-06,0.2335,415.82,0.0061,1,1,0,0,0,0
MSFT,2025-02-11,0.4964,411.44,-0.0019,1,0,1,0,0,0
MSFT,2025-02-18,0.3709,409.64,0.003,2,2,0,0,0,0
MSFT,2025-02-19,0.3093,414.77,0.0125,1,1,0,0,0,0
MSFT,2025-02-20,0.2595,416.13,0.0053,1,1,0,0,0,0
MSFT,2025-02-26,0.423,399.73,0.0046,1,1,0,0,0,0
MSFT,2025-02-27,0.3969,392.53,-0.018,1,1,0,0,0,0
MSFT,2025-03-03,0.4082,388.49,-0.0214,1,1,0,0,0,0
MSFT,2025-03-05,0.3589,401.02,0.0319,1,1,0,0,0,0
MSFT,2025-03-11,0.2149,380.45,0.0008,1,1,0,0,0,0
MSFT,2025-03-12,0.29085,383.27,0.0074,2,0,1,0,0,0
MSFT,2025-03-13,0.3541,378.77,-0.0117,1,1,0,0,0,0
MSFT,2025-03-17,-0.0934,388.7,0.0004,1,0,1,0,0,0
MSFT,2025-03-19,0.25279999999999997,387.82,0.0112,2,0,0,2,0,0
MSFT,2025-03-20,0.2992,386.84,-0.0025,2,1,0,0,0,0
MSFT,2025-03-21,0.2361,391.26,0.0114,1,1,0,0,0,0
